volume_id,layer_id,module_id,raw_id,cx,cy,cz,rot_xu,rot_xv,rot_rot_xw,rot_yu,module_t,module_minhu,module_maxhu,module_hv,pitch_u,pitch_v
2,1,4,303058962,-1.82073,2.06093,-5.5425,-0.74943,-0.662084,-1.22465e-16,-1.61705e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,5,303058965,-1.82073,2.06093,1.1025,-0.74943,-0.662084,-1.22465e-16,-1.61705e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,5,303058966,-1.82073,2.06093,-1.1025,-0.74943,-0.662084,-1.22465e-16,-1.61705e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,6,303058969,-1.82073,2.06093,5.5425,-0.74943,-0.662084,-1.22465e-16,-1.61705e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,6,303058970,-1.82073,2.06093,3.3375,-0.74943,-0.662084,-1.22465e-16,-1.61705e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,7,303058973,-1.82073,2.06093,9.9825,-0.74943,-0.662084,-1.22465e-16,-1.61705e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,7,303058974,-1.82073,2.06093,7.7775,-0.74943,-0.662084,-1.22465e-16,-1.61705e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,8,303058977,-1.82073,2.06093,14.4225,-0.74943,-0.662084,-1.22465e-16,-1.61705e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,8,303058978,-1.82073,2.06093,12.2175,-0.74943,-0.662084,-1.22465e-16,-1.61705e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,9,303058981,-1.82073,2.06093,18.8625,-0.74943,-0.662084,-1.22465e-16,-1.61705e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,9,303058982,-1.82073,2.06093,16.6575,-0.74943,-0.662084,-1.22465e-16,-1.61705e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,1,303063045,-3.0925,0.999479,-16.6575,0.307532,0.951538,5.66554e-16,-9.53153e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
